TYPE_OF_ME,MASS_G,YEAR,DATABASE,COORDINATE,COORDINA_1
Howardite,150,1953,http://www.lpi.usra.edu/meteor/metbull.php?code=16717,-31.25,26.46667
Diogenite-pm,117.8,1953,http://www.lpi.usra.edu/meteor/metbull.php?code=18181,51.66667,9.25
Eucrite-cm,31,1953,http://www.lpi.usra.edu/meteor/metbull.php?code=15467,-27.25,-67.5
L4,6000,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=16977,56.11667,37.33333
H4,5560,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=23773,33.18836,-86.2945
H,1300,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=12049,-8.93333,33.8
H5,810,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=2325,-33,-66
L4,305.5,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=11893,64.43333,21.2
L6,2950,1955,http://www.lpi.usra.edu/meteor/metbull.php?code=12263,31.58333,71.6
L5,2405,1955,http://www.lpi.usra.edu/meteor/metbull.php?code=15495,38.18333,15.56667
Ureilite,900,1955,http://www.lpi.usra.edu/meteor/metbull.php?code=12433,26.78333,82.71667
Pseudometeorite,232.4,1955,http://www.lpi.usra.edu/meteor/metbull.php?code=12322,47.69306,-122.17028
L6,100000,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=18103,-19.13333,-51.66667
H5,8165,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=16889,12,1
H5,3457,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=12000,-32.1,28.33333
H6,2000,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=23613,39.3,9.2
H5,1500,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=5134,50.66694,8.18361
L6,282,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=23130,-31.01667,-71.4
L6,180,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=11913,35.66667,115.5
H5,45.6,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=5307,43.2,-96.91667
H5,5000,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=22368,-26.66667,-65.45
Eucrite-mmict,2500,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=11993,-20,-45
C2-ung,500,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=10055,2.88333,30.83333
H4,400,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=7649,-31.88333,-60.46667
EL6,189.2,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=24106,-4.26667,35.35
CR2-an,160,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=446,24.41667,39.51667
Pseudometeorite,8000,1958,http://www.lpi.usra.edu/meteor/metbull.php?code=18025,59.28333,15.21667
L6,4682,1958,http://www.lpi.usra.edu/meteor/metbull.php?code=22386,51.88333,6.93333
Doubtful meteorite,3600,1958,http://www.lpi.usra.edu/meteor/metbull.php?code=23120,39.58333,2.65
H5,194,1958,http://www.lpi.usra.edu/meteor/metbull.php?code=17998,36.18333,139.21667
H5,5555,1959,http://www.lpi.usra.edu/meteor/metbull.php?code=18887,49.66667,14.03333
LL4,3710,1959,http://www.lpi.usra.edu/meteor/metbull.php?code=11485,41.38333,-86.6
H,3000,1959,http://www.lpi.usra.edu/meteor/metbull.php?code=432,8.91667,8.43333
L6,299,1959,http://www.lpi.usra.edu/meteor/metbull.php?code=12243,31.6,65.78333
L6,134.3,1959,http://www.lpi.usra.edu/meteor/metbull.php?code=23097,43.43333,2.95
Doubtful meteorite,0,1959,http://www.lpi.usra.edu/meteor/metbull.php?code=10869,54.58333,18.66667
L6,303000,1960,http://www.lpi.usra.edu/meteor/metbull.php?code=5156,53.9,-112.88333
Eucrite-mmict,330000,1960,http://www.lpi.usra.edu/meteor/metbull.php?code=16643,-26.45,120.36667
L6,36000,1960,http://www.lpi.usra.edu/meteor/metbull.php?code=24334,-27.75,115.83333
OC,72.9,1960,http://www.lpi.usra.edu/meteor/metbull.php?code=23660,27.13333,84.06667
H5,0,1960,http://www.lpi.usra.edu/meteor/metbull.php?code=10854,11.65,-2.18333
"Iron, IIIAB",85000,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=12268,39.26333,31.78
L6,8360,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=11830,32.675,-94.51167
H,3950,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=7656,12.73333,15.05
H5,2400,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=7774,-17.3,15.83333
L5,453.6,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=12369,30.73111,66.80222
C2-ung,375,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=5005,33.6,-96.46667
H6,6.1,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=22395,26.66667,50.15
H6,25400,1962,http://www.lpi.usra.edu/meteor/metbull.php?code=6693,25.73333,73.61667
"Iron, IAB-MG",8800,1962,http://www.lpi.usra.edu/meteor/metbull.php?code=5097,12.5,0.7
H4,4960,1962,http://www.lpi.usra.edu/meteor/metbull.php?code=23099,50.76667,3
L6,1250,1962,http://www.lpi.usra.edu/meteor/metbull.php?code=7722,13.05,3.16667
H4,927,1962,http://www.lpi.usra.edu/meteor/metbull.php?code=23171,-20.81,-49.38056
L6,737.6,1962,http://www.lpi.usra.edu/meteor/metbull.php?code=12301,54.4,10.15
L6,45760,1963,http://www.lpi.usra.edu/meteor/metbull.php?code=18180,56.13333,-117.93333
L5,7700,1963,http://www.lpi.usra.edu/meteor/metbull.php?code=17996,6.75,8.5
Pseudometeorite,5900,1963,http://www.lpi.usra.edu/meteor/metbull.php?code=24350,53.55,-0.65
L6,3000,1963,http://www.lpi.usra.edu/meteor/metbull.php?code=12037,41,112
LL6,2220,1963,http://www.lpi.usra.edu/meteor/metbull.php?code=12258,-3.5,35.58333
L6,1269,1963,http://www.lpi.usra.edu/meteor/metbull.php?code=24132,49.975,16.375
OC,266.1,1963,http://www.lpi.usra.edu/meteor/metbull.php?code=11915,39.35,-100.45
L6,9000,1964,http://www.lpi.usra.edu/meteor/metbull.php?code=10956,42.9,2.25
H4,6000,1964,http://www.lpi.usra.edu/meteor/metbull.php?code=5339,53.7,30.1
L6,4000,1964,http://www.lpi.usra.edu/meteor/metbull.php?code=5250,39.8,26.6
"Iron, IAB-sHL",1245,1964,http://www.lpi.usra.edu/meteor/metbull.php?code=16885,26.13333,85.53333
H5,222,1964,http://www.lpi.usra.edu/meteor/metbull.php?code=12086,31.91667,104.91667
OC,166.4,1964,http://www.lpi.usra.edu/meteor/metbull.php?code=24324,9,39
L5,44000,1965,http://www.lpi.usra.edu/meteor/metbull.php?code=4954,52.56528,-1.33972
H4,20350,1965,http://www.lpi.usra.edu/meteor/metbull.php?code=5418,-19.85,-47.55
L5,3850,1965,http://www.lpi.usra.edu/meteor/metbull.php?code=23873,45.4,122.9
CI1,1,1965,http://www.lpi.usra.edu/meteor/metbull.php?code=22592,51.33333,-118.95
LL6,271000,1966,http://www.lpi.usra.edu/meteor/metbull.php?code=23102,45.3,0.23333
H6,20000,1966,http://www.lpi.usra.edu/meteor/metbull.php?code=23500,21.68389,79.50083
H5,2968,1966,http://www.lpi.usra.edu/meteor/metbull.php?code=18173,43.46667,25.51667
L5,1700,1966,http://www.lpi.usra.edu/meteor/metbull.php?code=24118,13.46667,31.21667
L6,0,1966,http://www.lpi.usra.edu/meteor/metbull.php?code=5356,-17.35,13.96667
H5,150000,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=24281,-26.59278,120.32833
H6,10000,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=24062,45.46667,105.38333
L6,2500,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=23885,19.38333,43.73333
LL5,2000,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=18102,-6.23333,-40.7
L6,230,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=6660,39.7825,-104.93056
H6,67.4,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=12316,11.63333,24.68333
L5,0.1,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=24183,54.225,-111.69167
"Iron, IIIAB",25250,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=12213,38.74028,-7.27
LL6,460,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=34063,19.76667,-100.65
H5,283.3,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=23458,42.86083,-73.95028
L4,134,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=4910,2.71667,32.83333
LL3.4,13.1,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=18813,44.24417,11.50222
CV3,2000000,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=2278,26.96667,-105.31667
CM2,100000,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=16875,-36.61667,145.2
L3,5460,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=5121,54.56667,-6.33333
H6,4375,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=18112,20.93694,82.05
L6,815.3,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=23737,50.53806,16.26333
L3,600,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=2296,48.7,37.5
H5,17000,1970,http://www.lpi.usra.edu/meteor/metbull.php?code=14711,36.00833,-95.15
LL6,5500,1970,http://www.lpi.usra.edu/meteor/metbull.php?code=7708,32.91667,120.78333
H5,4590,1970,http://www.lpi.usra.edu/meteor/metbull.php?code=24097,11.05,-69.85
H4-6,3230,1970,http://www.lpi.usra.edu/meteor/metbull.php?code=7755,-27.2,31.31667
L6,3000,1970,http://www.lpi.usra.edu/meteor/metbull.php?code=23999,14.25,1.53333
L6,2450,1970,http://www.lpi.usra.edu/meteor/metbull.php?code=16941,9.5,35.33333
L5,2000,1970,http://www.lpi.usra.edu/meteor/metbull.php?code=15394,9.5,31.75
H5,1500,1970,http://www.lpi.usra.edu/meteor/metbull.php?code=12303,16.58333,-11.33333
H4,13400,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=12220,11.85,8.21667
H5,3900,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=23582,43.5,125.66667
H5,2500,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=2305,25.15,105.18333
H4,2500,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=15422,-22.25,-49.93333
Ureilite,1544,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=11859,60.24556,22.06194
L6,350,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=24250,41.7,-72.65
H4,177,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=17930,45.29167,11.52722
L5,50000,1972,http://www.lpi.usra.edu/meteor/metbull.php?code=24149,9.31667,-70.62833
H6,7000,1972,http://www.lpi.usra.edu/meteor/metbull.php?code=12043,-25.5,-54.5
L5,288,1972,http://www.lpi.usra.edu/meteor/metbull.php?code=11442,13.5,-0.68333
H6,4000,1973,http://www.lpi.usra.edu/meteor/metbull.php?code=14646,-26.15,26.18333
H6,1400,1973,http://www.lpi.usra.edu/meteor/metbull.php?code=5253,38.47028,-105.24139
H6,56,1973,http://www.lpi.usra.edu/meteor/metbull.php?code=23128,33.48472,-117.6625
H5,8000,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=10038,30.3,109.5
Aubrite,4850,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=15451,8.96667,12.08333
H3.7,3618,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=10949,48.28333,38.08333
H6,2700,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=16909,33.75,51.5
Diogenite-pm,1000,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=423,16.39806,-9.57028
LL6,483,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=12199,-11.85,15.83333
L6,50,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=23728,41.2,-73.13333
LL5,30000,1975,http://www.lpi.usra.edu/meteor/metbull.php?code=24086,21.66667,-103.36667
"Iron, IVA",14250,1975,http://www.lpi.usra.edu/meteor/metbull.php?code=16980,29.86667,121.48333
L6,10500,1975,http://www.lpi.usra.edu/meteor/metbull.php?code=23795,-7.75,112.76667
H6,7330,1975,http://www.lpi.usra.edu/meteor/metbull.php?code=12004,-6.03333,145.36667
H5,4000000,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=12171,44.05,126.16667
H3.8,45000,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=6698,22.37778,71.42722
EH3,2600,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=18908,26.53333,106.46667
Acapulcoite,1914,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=10,16.88333,-99.9
L6,950,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=12210,35.2,118.8
Stone-uncl,642,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=7725,-13.66667,33.91667
L6,605,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=23531,33.65,120.06667
L6,465.5,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=22780,-1.45,29.83333
L5,45.5,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=11196,60.66667,11
Stone-uncl,0,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=7749,43.33333,128.25
H6,75500,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=24346,32.33333,114.31667
H5,17226,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=45977,25.37,-97.37
LL3.9,7500,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=5090,33.83333,115.83333
LL5,6000,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=2284,35.27333,44.21556
L5,4576,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=12039,53.415,-111.3375
Stone-uncl,2500,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=10840,32.9,115.9
H5,1810,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=5322,29.08333,111.75
L6,1300,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=14716,38.25,-85.75
H5,1200,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=12003,-23.2,-51.83333
H5,23,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=12383,44.51667,39.3
H5,50000,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=17938,24.3,-102.13333
L6,4000,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=5357,47.47083,0.97667
L5,498,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=14659,31.63333,118.98333
L6,20500,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=12074,39.7,105.8
L5,1600,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=5364,-6.95,108.1
L/LL6-an,5900,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=24345,44.66667,117.5
H6,2520,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=14754,24.8,103.3
CR2,2000,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=12228,15,48.3
L6,1900,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=11437,37.1,118.4
OC,1900,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=22602,31.25,-99.03333
H5,1100,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=16631,34.8,111.7
"Pallasite, PMG",250000,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=18019,64.02,161.80833
L6,93200,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=15371,-15.21222,35.24222
"Iron, IVA",50000,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=433,39.91667,42.81667
H4/5,34650,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=11465,9.36667,42.41667
LL6,18000,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=5504,35.61667,8.83333
H6,367,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=5345,17.9,101.63333
L6,61.4,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=23107,44.97917,-122.96944
L6,2756,1982,http://www.lpi.usra.edu/meteor/metbull.php?code=24251,41.71056,-72.67361
H5,2449,1982,http://www.lpi.usra.edu/meteor/metbull.php?code=11448,22.98333,76.05
L/LL5,1275,1982,http://www.lpi.usra.edu/meteor/metbull.php?code=18907,32.08333,121.5
H6,100000,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=12300,14,28
L5,67225,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=31302,28.225,70.2
C3-ung,4610,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=16981,32.925,105.90667
L6,1443,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=15436,35.8,-84.1
L6,0,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=11436,24.1,105
CBa,100000,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=11449,11.49167,11.65833
L6,32490,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=12209,-7.71667,111.2
L6,4162,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=44882,12.85,11.03333
L6,1455,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=5374,32.1025,-81.87278
H6,529,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=16907,32.11667,121.8
H5,488.1,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=5051,-33.15639,115.67639
L6,320,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=2313,40.81056,140.78556
H4/5,27.5,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=24024,38.36667,140.86556
L6,45000,1985,http://www.lpi.usra.edu/meteor/metbull.php?code=12396,-31.23333,-58.16667
L4/5,20000,1985,http://www.lpi.usra.edu/meteor/metbull.php?code=2303,22.35556,73.575
LL5,43,1985,http://www.lpi.usra.edu/meteor/metbull.php?code=23114,52.75,11.05
L6,260000,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=23738,31.61667,113.46667
L5,68500,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=12295,28.97083,76.32278
H6,50000,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=24340,36.75,114.25
L6,11510,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=12342,34.3,133.95
"Iron, IIAB",10200,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=22371,27.72528,76.465
H5,2232,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=23984,32.94667,118.99
L6,1282,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=12464,46.24167,126.19611
LL6,1215.5,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=18050,30.18,-6.57717
CM2,430,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=23192,35.86667,139.4
L4,113.4,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=24121,66.13889,124.76667
H5,14250,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=12466,33.13333,115.16667
"Iron, IIIAB",3920,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=5355,-10.05944,33.395
H4,2936,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=5338,-3.66667,32.5
L5,1430,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=18074,-23.11667,-65.1
LL6,1250,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=24042,52.21667,13.16667
L3.7,1025,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=5306,26.46667,-105.23333
H6,977,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=24029,45.06667,7.66667
H6,40000,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=23617,39.82467,36.13583
L6,10000,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=7807,34.41667,3.25
L6,7000,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=23512,34.75,10.71667
LL5,1557,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=4976,11.08333,-0.18333
L6,1000,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=24098,41.76667,62.51667
L5,630,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=23619,32.43333,119.86667
L6,0,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=18179,11.33367,-3.54217
"Iron, IIIAB",325000,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=23724,53.66667,55.98333
H,17450,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=22361,44.61667,126.13333
EH7-an,4720,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=12058,26.59083,-12.95217
H4-an,1504,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=5175,37.62194,-82.23722
L/LL5,670,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=10923,52.2,6.86667
H3-5,666.6,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=15387,-19.48333,31.65
L5,110000,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=16804,18.7,4.8
L5,23680,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=5249,-7.03333,-40.16667
H4/5,1000,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=23784,34.72,137.305
L6,767,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=10930,52.45972,-0.3
H4-6,483.7,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=16985,40.08528,-86.055
L5/6,150000,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=15455,1.06667,34.16667
H6,12570,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=18782,41.28333,-73.91667
L6,6380,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=16635,35.56833,133.22
L6,36900,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=23668,45.25,125
"Iron, ungrouped",16700,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=4934,16.66667,101.18333
L6,5000,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=7819,19.96722,-103.05167
H6,866,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=23496,39.43833,140.51167
Howardite,40000,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=14678,26.96556,72.62667
H5,25400,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=23733,45.96861,-72.97806
L5,15500,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=4957,52.03333,20.93583
L4,12000,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=16954,15.36667,35.68333
L6,1140,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=6696,24.225,76.525
L6,469,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=5401,43.76111,-84.50778
Mesosiderite,128800,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=7706,45.5,119.03333
H4,5000,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=10850,51.68333,30.78333
H5,1710,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=23594,20.93333,-101.38333
L6,420,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=16934,36.44917,136.46528
H5,189,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=18800,14.052,0.42
Eucrite-mmict,42000,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=18831,26.03472,73.94167
H3-5,10200,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=10091,43.18111,13.75333
H5,2910,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=11435,39.80417,122.76389
H5-6,800,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=24059,36.06333,140.145
L5,89.3,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=47343,45.34583,-92.05167
H5,100000,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=12203,35.5,115.41667
L5,1551,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=24337,42.38467,-83.6115
Eucrite-cm,1303.8,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=24188,16.83333,80.75
H5,1100000,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=12379,42.25,59.2
H6,71400,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=18874,34.175,-103.295
H4,20000,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=18052,37.60833,-8.28
H5,7000,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=6604,41.98444,59.685
L6,3700,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=5313,28.53333,109.31667
H5,2587,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=16719,31.60833,-102.85833
LL6,680.5,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=7822,39.24667,-104.58817
L6,202.6,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=12326,43.38333,-80.38333
Diogenite,25000,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=5045,12.45,-0.08333
H5-6,10000,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=7657,36.95,9.55
L6,1500,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=35465,11.33333,10.08333
LL6,478,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=22793,23.08333,91.66667
L6,271.4,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=12759,52.66667,-6.96667
CK4,136,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=12336,34.73333,135.16667
L6,30,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=7743,-31.66667,152.83333
C2-ung,10000,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=23782,59.70444,-134.20139
H5,5700,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=24351,13.71111,45.17
H5,633,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=16742,49.6,18.53333
H5,0,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=10866,14.15083,-2.04167
L6,19000,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=5018,32.86667,10.8
H5,12500,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=6664,26.68333,93.86667
H3.8,12000,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=6694,19,81
CV3,5300,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=30448,39.77978,64.60035
LL5,700,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=447,13.66033,28.96
H4/5,45300,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=23976,-29.33333,27.58333
LL6,19000,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=12307,12.76667,9.8
EL6,6189,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=16950,47.525,10.80833
L6,6000,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=15430,-14.2,48.1
LL6,678,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=36591,26.50833,73.11528
Eucrite-mmict,252,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=458,45.82133,6.01533
L6,237,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=31315,43.66667,13
LL6,45000,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=5024,30,-7
H5,19256,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=16960,29.94718,-90.10976
L5,18000,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=18106,41.48472,-87.67917
H3-5,17000,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=31282,24.3,-13.1
H4,16820,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=30740,29.58333,77.58333
H4-5,6669,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=12276,20.4625,86.70278
L5,4440,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=56729,12.9,0.08
H5,414,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=11889,34.45,132.38333
H6,167.7,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=44714,1.345,31.47278
LL6,25000,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=30443,32.25,-8.15
H5/6,4629,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=30751,12.83333,9.38333
L6,3500,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=24179,42.8,-4.66667
