TYPE_OF_ME,MASS_G,YEAR,DATABASE,COORDINATE,COORDINA_1
L6,65,1851,http://www.lpi.usra.edu/meteor/metbull.php?code=22363,46.6,0.25
L3.7,22700,1852,http://www.lpi.usra.edu/meteor/metbull.php?code=16628,46.5,25.73333
L5,7000,1852,http://www.lpi.usra.edu/meteor/metbull.php?code=5113,48.15,24.28333
Aubrite,1500,1852,http://www.lpi.usra.edu/meteor/metbull.php?code=5181,26.78333,82.83333
L6,18000,1853,http://www.lpi.usra.edu/meteor/metbull.php?code=10917,37.31667,13.56667
LL6,6930,1853,http://www.lpi.usra.edu/meteor/metbull.php?code=23476,26.75,84.78333
L6,577,1853,http://www.lpi.usra.edu/meteor/metbull.php?code=7752,-4,39.5
L6,1862,1854,http://www.lpi.usra.edu/meteor/metbull.php?code=14655,52.75,12.9
H/L3.9,7250,1855,http://www.lpi.usra.edu/meteor/metbull.php?code=5135,53.4,9.1
L6,6000,1855,http://www.lpi.usra.edu/meteor/metbull.php?code=17989,58.5,23
Pseudometeorite,2006,1855,http://www.lpi.usra.edu/meteor/metbull.php?code=12758,45.25,11.25
Eucrite-pmict,1800,1855,http://www.lpi.usra.edu/meteor/metbull.php?code=18801,35.3,-86.63333
H5,1250,1855,http://www.lpi.usra.edu/meteor/metbull.php?code=22792,27.43333,82.08333
L6,700,1855,http://www.lpi.usra.edu/meteor/metbull.php?code=23083,51.05,3.75
H,146,1855,http://www.lpi.usra.edu/meteor/metbull.php?code=4907,25,-103.5
Pseudometeorite,35,1855,http://www.lpi.usra.edu/meteor/metbull.php?code=12001,57.83333,26.26667
Doubtful meteorite,0,1855,http://www.lpi.usra.edu/meteor/metbull.php?code=5368,42.08333,11.78333
H3/4,11800,1856,http://www.lpi.usra.edu/meteor/metbull.php?code=24046,45.46667,10
H5,205,1856,http://www.lpi.usra.edu/meteor/metbull.php?code=18058,43.4,-5.86667
LL3.6,77600,1857,http://www.lpi.usra.edu/meteor/metbull.php?code=18108,9.23333,78.35
H5,16250,1857,http://www.lpi.usra.edu/meteor/metbull.php?code=17995,46.06667,23.58333
H4,6045,1857,http://www.lpi.usra.edu/meteor/metbull.php?code=22358,17.76667,95.18333
CV3,3000,1857,http://www.lpi.usra.edu/meteor/metbull.php?code=12218,47.35,21.3
L6,1500,1857,http://www.lpi.usra.edu/meteor/metbull.php?code=23717,45.05,41.98333
H5,1000,1857,http://www.lpi.usra.edu/meteor/metbull.php?code=11875,10,-84.1
L6,125,1857,http://www.lpi.usra.edu/meteor/metbull.php?code=12769,48.35,3.25
H5,144000,1858,http://www.lpi.usra.edu/meteor/metbull.php?code=16715,38.11667,-1.16667
L5,50000,1858,http://www.lpi.usra.edu/meteor/metbull.php?code=4903,43.08333,0.58333
L6,577,1858,http://www.lpi.usra.edu/meteor/metbull.php?code=12231,45.13333,21.66667
L5,10500,1859,http://www.lpi.usra.edu/meteor/metbull.php?code=18093,15.08333,120.7
L5,2000,1859,http://www.lpi.usra.edu/meteor/metbull.php?code=5034,43.21667,-0.23333
L6,680,1859,http://www.lpi.usra.edu/meteor/metbull.php?code=11842,38.25,-86.16667
H,13.9,1859,http://www.lpi.usra.edu/meteor/metbull.php?code=5032,42.53333,-73.83333
L6,230000,1860,http://www.lpi.usra.edu/meteor/metbull.php?code=16953,40,-81.76667
LL6,32000,1860,http://www.lpi.usra.edu/meteor/metbull.php?code=7640,32.23333,76.46667
H5,908,1860,http://www.lpi.usra.edu/meteor/metbull.php?code=463,44.88333,8.75
L6,450,1860,http://www.lpi.usra.edu/meteor/metbull.php?code=12294,26.95,77.88333
H5,54,1860,http://www.lpi.usra.edu/meteor/metbull.php?code=23663,47.36667,1.73333
L6,5,1860,http://www.lpi.usra.edu/meteor/metbull.php?code=12382,29.68333,78.38333
H6,29000,1861,http://www.lpi.usra.edu/meteor/metbull.php?code=5183,27.08333,84.08333
